"","population_density","age","income","education","has_bike_lane","bike_prop"
"219",3092.7,38.9,0.7744,195,1,0
"220",3013,41.5,0.78336,265,1,0
"221",2888.8,42.4,1.22624,220,1,0
"222",2679.7,39.7,1.08544,155,1,0
"223",1734.6,41.3,1.11616,170,1,0
"224",2013.4,39,1.09056,185,1,0
"225",3801.3,39.8,0.7552,245,1,0.117647058823529
"226",6945.1,43.2,0.5056,335,1,0
"227",5663.2,40.6,0.47488,210,1,0.111111111111111
"228",8377.6,46,0.59819,290,1,0.151515151515152
"229",5061.5,42.4,0.73728,160,0,0
"230",3884.8,40.1,1.0112,235,1,0
"231",1949.1,41.4,1.28256,285,1,0.0714285714285714
"232",3085.8,42.8,0.84992,290,1,0
"233",15305.2,45.4,0.48,325,0,0
"234",6821.7,48.8,0.5696,325,0,0
"235",4692.1,47.4,0.71424,240,1,0.136363636363636
"236",11166.7,55.4,0.61056,235,0,0
"237",13247.7,53.6,0.54144,260,1,0
"238",12281.4,47,0.48256,235,1,0
"239",12719,48.8,0.52096,320,1,0
"240",7518.8,49.5,0.42624,240,0,0.0909090909090909
"241",1826.4,42.3,1.36192,265,1,0
"242",2567.8,42.3,1.34656,145,1,0.166666666666667
"243",23793.7,38.9,0.45491,605,1,0
"244",3084.8,50.4,0.62848,185,1,0
"245",3941.3,58.8,0.79616,385,1,0.115384615384615
"246",1994,39,0.88832,165,1,0
"247",3453.2,40.9,0.8704,170,1,0
"248",3490.8,36.8,0.77312,145,1,0
"249",3262,38.5,0.8832,120,1,0.133333333333333
"250",3800.8,39.3,0.85504,215,0,0.230769230769231
"251",5178.1,44.8,0.88064,165,0,0.0689655172413793
"252",6902.4,40.5,0.99968,315,0,0.153846153846154
"253",3915.2,40.1,0.94464,205,1,0.19047619047619
"254",3063.4,37.4,0.57664,240,1,0
"255",6601.8,41.1,0.85248,205,1,0.181818181818182
"256",5993.9,36.8,0.88832,285,0,0.153846153846154
"257",4829.7,39.6,0.95488,190,1,0.105263157894737
"258",5601.2,39.1,0.87296,220,1,0.105263157894737
"259",5487.3,39.1,1.20064,275,1,0
"260",6283.1,36.5,0.76032,320,1,0.2
"261",6519.7,37.3,0.81408,270,1,0.214285714285714
"262",6776.6,38.9,0.8192,230,1,0.0909090909090909
"263",7551,39.9,0.7168,270,0,0.125
"264",6898.6,39.3,0.79104,215,1,0.117647058823529
"265",8849.9,38.8,0.66816,305,1,0.0697674418604651
"266",7217.5,39.2,0.66304,285,0,0.166666666666667
"267",16124,49.7,0.57024,335,0,0.0714285714285714
"268",4476,45.3,0.60288,195,1,0.117647058823529
"269",10082.9,38.8,0.75264,330,1,0.1875
"270",7230,39.9,0.91904,215,1,0.157894736842105
"271",6962.2,43.8,1.1264,235,1,0.148148148148148
"272",10880.8,37.6,0.78464,340,1,0.117647058823529
"273",6901.6,39.4,0.84224,240,0,0.259259259259259
"274",9026.5,38.2,0.95488,415,1,0.219512195121951
"275",9403,39.8,0.82688,445,1,0.137254901960784
"276",7077.6,42.5,0.87168,350,1,0.2
"277",6692.7,36.6,0.896,240,0,0.0740740740740741
"278",12688,36.5,0.68949,410,0,0.0625
"279",8868.7,36.6,0.7232,360,1,0.142857142857143
"280",7168.4,37.8,0.8128,315,1,0.137931034482759
"281",10171.3,41.1,0.84992,315,1,0.0666666666666667
"282",9726,38.6,0.76032,305,1,0.21875
"283",7628.7,41,0.68352,250,1,0.111111111111111
"284",12249.5,37.1,0.56704,280,0,0.129032258064516
"285",16281.3,40,0.57152,295,1,0.0606060606060606
"286",13744.8,40.7,0.59584,330,1,0.0625
"287",11150.9,37.5,0.59904,230,1,0.192307692307692
"288",8123.1,48,0.48768,180,1,0.15
"289",9397.6,41.3,0.59008,270,0,0.125
"290",13760.9,39,0.70272,300,0,0.0967741935483871
"291",14227.4,40.8,0.68437,230,0,0
"292",16301.8,38.8,0.56896,270,0,0.171428571428571
"293",17891.6,40.2,0.67904,330,0,0.238095238095238
"294",16300.6,40.2,0.59904,305,0,0.103448275862069
"295",5626.3,40.6,0.75904,260,1,0.0833333333333333
"296",10164.4,40.5,0.59264,320,1,0.102564102564103
"297",10270.8,39.7,0.60096,260,0,0.0645161290322581
"298",4287.7,39.7,0.68992,680,1,0.157894736842105
"299",23553.7,42.1,0.67584,640,1,0.114754098360656
"300",8289.8,42.6,0.79701,690,1,0.107692307692308
"301",13031.4,41.5,0.69683,415,1,0.125
"302",14757.8,41,0.61568,255,1,0.230769230769231
"303",15730,42.1,0.63616,265,0,0.0606060606060606
"304",20195.5,49.5,0.67584,345,1,0.075
"305",5482.4,49.5,0.6784,255,1,0.217391304347826
"306",11849.2,42.6,0.68096,360,1,0.171428571428571
"307",18681.3,48.3,0.71936,265,1,0.0869565217391304
"308",11909.8,52.1,0.48256,150,1,0.25
"309",19241.6,39.6,0.6112,340,1,0.128205128205128
"310",17338.7,39,0.5824,305,0,0.0869565217391304
"311",17492.9,44,0.62464,290,1,0.0882352941176471
"312",17300.3,41.8,0.5728,315,1,0.0769230769230769
"313",6845.8,39.8,0.64213,265,1,0.0625
"314",15967.3,38.1,0.54144,280,1,0.135135135135135
"315",15861.1,38.8,0.79488,345,1,0.185185185185185
"316",22228,61.9,0.51328,115,0,0.142857142857143
"317",3599.4,38.7,0.75008,350,1,0.105263157894737
"318",13604.7,41.2,0.82944,260,1,0.173913043478261
"319",13564,37.9,0.76032,145,1,0.125
"320",17772.3,34.7,0.78421,350,0,0.159090909090909
"321",10626.4,40.3,0.65152,215,0,0.142857142857143
"322",10477,36.1,0.768,265,0,0.0714285714285714
"323",8038.9,36.8,0.73216,190,0,0.12
"324",5557,39.5,0.6208,195,0,0.148148148148148
"325",1137.1,44,1.34144,205,0,0.1
"326",5455.3,39.3,0.88832,285,0,0.0789473684210526
"327",2933,40.5,0.89088,280,1,0
"328",1787.5,40.9,1.21344,185,1,0
"329",1777.3,42,1.31584,240,1,0
"330",1522.9,39.1,1.70752,150,1,0
"331",1606,42.8,1.31584,195,1,0
"332",1781.1,41.9,1.59744,245,1,0.181818181818182
"333",2792.5,42.8,1.664,175,1,0.166666666666667
"334",1468.8,41.7,1.58208,165,1,0
"335",2033.5,40.9,1.17248,180,1,0.142857142857143
"336",1264.8,55.2,1.25952,295,1,0
"337",6574.7,64.5,0.71424,110,0,0
"338",2770.1,40.9,1.16992,215,1,0.0869565217391304
"339",1389,62.5,0.94464,180,1,0
"340",3802.6,42.8,0.78933,310,1,0.128205128205128
"341",3072.7,45.1,0.99584,175,1,0.181818181818182
"342",4341.6,40.9,1.55392,225,1,0
"343",7297.6,37.3,0.69888,265,0,0.146341463414634
"344",6715.9,37.5,0.81792,245,0,0.103448275862069
"345",5850.1,37.8,1.44896,240,1,0.166666666666667
"346",7139.4,38.5,0.81664,285,1,0.146341463414634
"347",6468.8,39.4,0.6144,200,1,0.136363636363636
"348",5569.5,38.8,1.08288,340,1,0.117647058823529
"349",7295.1,39.1,0.99072,215,1,0.2
"350",7270.9,38.5,0.7296,320,1,0.0645161290322581
"351",6240.4,39,1.03424,260,1,0.153846153846154
"352",8076.1,38.4,0.87296,330,1,0.153846153846154
"353",8585.7,38.9,0.75008,435,1,0.2
"354",7155.4,37.1,0.8512,170,0,0.142857142857143
"355",7705.8,41.1,0.70656,160,1,0.192307692307692
"356",6957.1,40.6,0.99584,225,0,0.208333333333333
"357",4966.7,39.1,0.91392,180,1,0.16
"358",6432.7,40,0.88832,265,1,0.15625
"359",5547,38.7,0.6656,195,1,0.178571428571429
"360",7872.1,35.2,1.21856,225,1,0.222222222222222
"361",5787.3,39.8,0.91648,140,1,0.1
"362",2633.3,37.3,0.9088,195,1,0.227272727272727
"363",1362.6,40.6,0.98816,220,1,0.176470588235294
"364",7875,39.2,0.85248,110,0,0
"365",6877.6,40.6,0.66176,250,0,0.125
"366",7240.5,38.3,0.86528,165,1,0.181818181818182
"367",4190.2,38.8,0.72448,145,1,0.125
"368",4487.6,39.2,0.98176,120,1,0.12
"369",6408.7,40.2,0.74368,140,1,0.233333333333333
"370",15333.3,35.6,1.03168,220,1,0.105263157894737
"371",8003.4,39.4,0.78464,110,0,0.0769230769230769
"372",7180.4,36.3,0.81664,235,1,0.172413793103448
"373",10502.7,36.6,0.68096,240,1,0.310344827586207
"374",15414.6,39.1,0.59008,120,1,0.153846153846154
"375",15131.1,36.3,0.53675,150,1,0.0833333333333333
"376",8544.2,42.5,0.66731,345,1,0.14
"377",11845,40,0.72512,610,1,0.138297872340426
"378",8951.3,36.2,0.7168,210,1,0.19047619047619
"379",14978.2,37,0.68693,495,0,0.231884057971014
"380",10654.6,34.9,0.5312,185,0,0.184210526315789
"381",6685.6,43,0.5664,170,1,0.259259259259259
"382",17132.9,38,0.59584,95,1,0.181818181818182
"383",16819.8,37.4,0.41344,155,1,0.148148148148148
"384",14861.1,39.6,0.352,185,0,0.1
"385",12371.1,41.6,0.47872,125,0,0
"386",18968,37.9,0.47296,170,0,0.153846153846154
"387",15140.8,44,0.35776,155,1,0.12
"388",7374.7,42,0.41728,175,1,0.193548387096774
"389",14828.8,41.8,0.5056,170,1,0
"390",16416.4,37.4,0.47104,155,0,0.153846153846154
"391",9977.7,36.6,0.51424,145,1,0.19047619047619
"392",8236.3,37.8,0.74496,180,1,0.230769230769231
"393",8730.2,35.7,0.59904,180,0,0.135135135135135
"394",8475.2,35.3,0.704,170,1,0.25
"395",6074.2,36.9,0.61824,160,0,0.307692307692308
"396",10440.8,37.4,0.71936,185,0,0.0769230769230769
"397",8576.5,38.6,0.77568,180,0,0
"398",6300.4,41,0.83712,75,0,0
"399",8346.3,38.6,0.87808,260,0,0.1
"400",6352.9,40.5,0.77056,195,0,0.238095238095238
"401",6361.6,40.1,0.9088,140,1,0.142857142857143
"402",8124.3,36.2,0.76544,315,0,0.04
"403",5231.7,39.3,0.55488,195,0,0.181818181818182
"404",5358.8,39.2,0.68864,195,1,0.107142857142857
"405",8351.3,35.1,1.11872,205,1,0.2
"406",8029.3,36.2,0.86272,160,0,0.230769230769231
"407",7155.3,38.3,0.82944,125,0,0.0869565217391304
"408",7835.6,35.3,0.70912,180,0,0.130434782608696
"409",6299.1,37.1,0.58176,170,1,0.0789473684210526
"410",7275.9,41.3,0.44288,235,1,0.153846153846154
"411",6605.9,37.1,0.60928,140,1,0.166666666666667
"412",10726,40.7,0.76544,170,1,0.205882352941176
"413",8270.6,35.6,0.89344,170,1,0.0606060606060606
"414",7682.7,38.8,0.704,125,0,0.136363636363636
"415",4055.3,38.3,0.41856,65,1,0
"416",13073.2,36.6,0.50944,140,1,0.0625
"417",4507.4,42.7,0.66987,255,1,0.194444444444444
"418",924.9,41.8,0.57472,180,1,0.225806451612903
"419",895.7,47.1,0.34624,185,1,0.277777777777778
"420",7537.7,38.9,0.73216,115,1,0.157894736842105
"421",9609.9,38.4,0.6208,105,1,0.272727272727273
"422",10654.2,42,0.416,135,1,0.210526315789474
"423",15096.9,44.7,0.1774,50,1,0.111111111111111
"424",8388.4,41.5,0.5696,55,1,0
"425",14251.3,45.5,0.28832,215,1,0.145454545454545
"426",18278.4,54,0.28032,125,0,0.266666666666667
"427",9735.2,56.2,0.21568,40,0,0.133333333333333
"428",18493.6,60.7,0.13344,15,0,0.333333333333333
"429",18400,53.1,0.17202,20,1,0
"430",9974.6,55.5,0.17771,200,1,0.172413793103448
"431",12335.5,48.9,0.17248,35,0,0.142857142857143
"432",77692.3,36.1,0.74496,570,1,0
"433",59101.8,37.4,0.80512,505,1,0.0461538461538462
"434",34728.9,37.6,0.67533,1120,1,0
"435",28466.3,38.7,0.67456,225,1,0
"436",37764.7,42.7,0.33792,225,0,0
"437",38991.8,37.1,0.48,845,0,0.037593984962406
"438",33099.4,38.7,0.90624,325,1,0
"439",50309.3,39.9,0.98048,185,1,0.0909090909090909
"440",28857.1,44.9,0.76288,300,1,0
"441",28076,46.2,0.96512,610,1,0.0757575757575758
"442",32404.4,39.3,0.48768,255,1,0.0612244897959184
"443",35041,42.2,0.51392,360,1,0.0576923076923077
"444",43991,48.7,0.40021,440,0,0.127272727272727
"445",18375,39.7,0.43221,320,1,0.0923076923076923
"446",25039.4,42.4,0.5088,110,0,0.111111111111111
"447",21423.2,51.9,0.58752,190,1,0.0645161290322581
"448",30970.1,36.5,0.50176,205,1,0.155555555555556
"449",40454.5,40.6,0.5056,255,0,0.128205128205128
"450",30915,42.8,0.54741,185,0,0.111111111111111
"451",27531.6,36.3,0.66816,170,1,0.181818181818182
"452",26098.9,36.3,0.54016,220,1,0.0540540540540541
"453",22727.3,47.4,0.47616,215,0,0.142857142857143
"454",13132.2,47.4,0.62208,160,1,0.0952380952380952
"455",13612.8,48.1,0.63872,275,1,0.0888888888888889
"456",26923.1,45.5,0.56576,265,1,0.170731707317073
"457",15454.5,38,0.50022,335,1,0.188679245283019
"458",24301.1,45.8,0.46421,230,1,0.0588235294117647
"459",24685.7,39,0.5312,140,1,0.0882352941176471
"460",28111.1,33.6,0.3648,215,1,0
"461",24963,39.3,0.52864,350,0,0.0454545454545455
"462",29771,39.7,0.57728,410,1,0.120689655172414
"463",15889.7,38.3,0.75349,1270,1,0.0294117647058824
"464",26928.1,50.2,0.64128,240,1,0
"465",26085.1,55.1,0.57216,240,1,0.0606060606060606
"466",10856.1,52.9,0.59264,280,1,0.194444444444444
"467",28587.6,47.7,0.51008,210,0,0.275862068965517
"468",19442.9,48.1,0.52267,280,1,0.0588235294117647
"469",31676,45.9,0.49152,160,0,0.0740740740740741
"470",1746.3,40.9,0.48896,275,1,0.210526315789474
"471",5437,50.8,1.14432,265,1,0.125
"472",8139.9,41.8,0.84224,240,1,0.0714285714285714
"473",3462,37.9,0.68608,300,1,0.0789473684210526
"474",15588.2,38.3,0.69291,255,1,0.102564102564103
"475",17365.3,41.2,0.66944,295,1,0.115384615384615
"476",21309.5,41,0.6336,220,0,0.185185185185185
"477",15562,43.6,0.68608,325,1,0.31578947368421
"478",12431.4,50.7,0.61184,290,0,0.0967741935483871
"479",11834.7,41.6,0.7168,300,1,0.147058823529412
"480",9054.9,48,0.83072,300,1,0.107142857142857
"481",8872,40.9,0.81152,360,1,0.214285714285714
"482",2725.7,48.5,1.46432,255,1,0.115384615384615
"483",4538.7,54.9,0.82176,90,1,0.117647058823529
"484",631.3,51,0.18464,95,1,0.333333333333333
"485",971.2,40,0.97792,215,1,0.192307692307692
"486",3098.8,40.8,1.00864,200,1,0.272727272727273
"487",5151.5,42.7,0.86835,215,0,0.3
"488",4620.9,39.2,1.04192,265,1,0
"489",5066.8,39.3,1.10848,210,1,0.210526315789474
"490",2476.2,40,1.00608,255,1,0.105263157894737
"491",2759.1,42.3,1.09056,210,0,0.157894736842105
"492",4839.9,40.9,0.85248,280,1,0.16
"493",6344.4,38.5,0.63104,245,1,0.25
"494",5120.1,41.2,0.88832,190,0,0
"495",5397.3,37.9,1.01376,250,1,0.0833333333333333
"496",5233.6,41.8,0.8832,300,1,0
"497",3750.9,39.5,1.01376,215,1,0.0833333333333333
"498",3922.7,41.6,0.79104,190,1,0.1
"499",5000,38.4,1.0112,180,0,0.142857142857143
"500",4397.6,38.7,1.43616,250,1,0.157894736842105
"501",3885.6,41.9,1.00864,150,1,0.142857142857143
"502",2522.8,38.8,0.96512,210,1,0.111111111111111
"503",3301.8,41.9,1.1904,175,0,0.153846153846154
"504",3685.3,41.6,1.02912,300,1,0
"505",3799.8,40.9,1.21856,275,1,0
"506",3720.2,39.1,0.85248,245,1,0
"507",2273.9,41.3,0.78208,210,1,0
"508",2065.5,43.2,1.51296,215,1,0
"509",2683.6,42.5,1.0752,225,1,0.0909090909090909
"510",1146,43.4,1.34656,275,1,0.0769230769230769
"511",2913.8,43.7,1.1904,215,1,0
"512",2637.7,39.7,1.47968,245,1,0.1
"513",3154.8,42.2,1.56928,230,0,0.176470588235294
"514",3959.9,41.4,1.01376,220,0,0.0952380952380952
"515",4249,39.7,1.35168,180,0,0
"516",2740.6,39,0.89344,185,1,0
"517",4206.1,42.4,1.36192,205,0,0.2
"518",1217.2,40.2,1.43872,190,1,0
"519",5182.3,38.5,1.0752,235,0,0.111111111111111
"520",5451.5,38.7,1.0112,220,0,0.16
"521",4472.7,40.7,0.992,305,1,0.263157894736842
"522",6641.1,39.7,0.49536,280,1,0.1
"523",6193.2,43.1,0.48128,215,1,0.111111111111111
"524",6571.4,38.9,0.78336,360,1,0.1
"525",5739.8,39.5,0.9088,265,1,0.121212121212121
"526",5088.7,40,0.9728,200,1,0
